Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,mpaa_rating,added_to_netflix,flixable_url,totalSeasons
Traffic Signal,2007,N/A,02 Feb 2007,130 min,Drama,Madhur Bhandarkar,"Ajeet Ghorpade (screenplay), Madhur Bhandarkar (dialogue), Madhur Bhandarkar (screenplay), Madhur Bhandarkar (story), Sachin Yardi (dialogue), Sachin Yardi (screenplay), Sachin Yardi (story), Nishant A Bhuse (story source)","Kunal Khemu, Neetu Chandra, Upendra Limaye, Ranvir Shorey","Silsila is the ""manager"" of one traffic signal, that is he collects the ""hafta"" (protection tax) from each signal squatter plying his trade. There's Tsunami, a little scavenger boy, there's...",Hindi,India,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYzQwYmZlMmUtNDk3My00MjBiLTljYzQtOGI4Mzg3N2VjMmEzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,359",tt0819810,movie,N/A,N/A,N/A,N/A,True,TV-MA,"December 31, 2019",http://www.flixable.com/title/70065255/,
"Trikal (Past, Present, Future)",1985,N/A,30 Aug 1985,137 min,Drama,Shyam Benegal,"Shyam Benegal (screenplay), Shyam Benegal (story), Shama Zaidi (dialogue)","Leela Naidu, Neena Gupta, Anita Kanwar, Soni Razdan","Set in 1961 Goa, this is a story of a rich and influential Goan family and what happens to them over a period of time. The movie is narrated in past-tense by one of the friends of the ...",Hindi,India,1 win.,https://m.media-amazon.com/images/M/MV5BYzg2YzhjZDgtNjE0ZC00YmY5LTkzOTYtMTA1YWMwOWQyZmIyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,141,tt0090202,movie,25 Sep 2001,N/A,N/A,N/A,True,TV-14,"December 31, 2019",http://www.flixable.com/title/60021548/,
Union Leader,2017,N/A,24 Sep 2017,106 min,Drama,Sanjay Patel,"Sanjay Patel, John Winston Rainey, Sanjay Patel (story by), Chinmay Sankrat (hindi dialogue), Sanjay Patel (hindi dialogue)","Rahul Bhat, Tillotama Shome, Zala Akash, Prashant Barot","Resigned to his fate as a worker in a notoriously shoddy chemical plant, Jay realizes that he must not only find a way to support his family, but also overcome grave social and legal injustice in the system.",Hindi,"Canada, India",N/A,https://m.media-amazon.com/images/M/MV5BOTRmNzg0MzgtMDhlNC00Y2FjLWE1YWYtZGQwNTllMTc3OTVkXkEyXkFqcGdeQXVyNTI0NTIyMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"1,471",tt6395306,movie,N/A,N/A,Dim Light Pictures,N/A,True,TV-14,"December 31, 2019",http://www.flixable.com/title/81217438/,
Veerey Ki Wedding,2018,N/A,02 Mar 2018,131 min,"Comedy, Romance",Ashu Trikha,Dilip Shukla,"Pulkit Samrat, Jimmy Sheirgill, Kriti Kharbanda, Satish Kaushik","What happens when the most eligible bachelor in Delhi, Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the ...",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BN2UxMjQ2ZmItNmI0OC00ZGFkLWJhY2MtMDJhNTMxOGRhZTBkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}]",N/A,3.1,320,tt7262178,movie,N/A,N/A,Make My Day Entertainments,N/A,True,TV-14,"December 31, 2019",http://www.flixable.com/title/81213873/,
Vodka Diaries,2018,N/A,19 Jan 2018,120 min,"Mystery, Thriller",Kushal Srivastava,"Vaibhav Bajpai (Story & Screenplay), Manisha Korde (Dialogue Writer), Sachin Vinod Modi (Additional Dialogue Writer), Kushal Srivastava (screen play and dialogue)","Kay Kay Menon, Raima Sen, Mandira Bedi, Sharib Hashmi","In the misty town of Manali, ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night, which might be connected to the night club, Vodka Diaries.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMGFjOTVhYjYtNTgyNy00MjNiLTg5NGYtNGM2YWY5NTA1YzJkXkEyXkFqcGdeQXVyNzkxOTEyMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,5.6,973,tt6275262,movie,N/A,N/A,Vishalraj Films,N/A,True,TV-14,"December 31, 2019",http://www.flixable.com/title/81213874/,
Yanxi Palace: Princess Adventures,2019,N/A,31 Dec 2019,N/A,Drama,N/A,N/A,"Herun Wang, Yizhe Wang, Wang Yuwei",N/A,Mandarin,China,N/A,N/A,[],N/A,N/A,N/A,tt11399844,series,,,,,True,TV-14,"December 31, 2019",http://www.flixable.com/title/81203251/,N/A
Zed Plus,2014,N/A,28 Nov 2014,141 min,Comedy,Chandra Prakash Dwivedi,"Chandra Prakash Dwivedi (screen play and dialogue by), Ramkumar Singh (screen play and dialogue by), Ramkumar Singh (story written by)","Vinod Acharya, Adil Hussain, Ravi Jhankal, Ekavali Khanna","A political satire involving a small town in Rajasthan, where the local government is on the verge of collapsing due to factors such as corruption.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BN2ZmM2Y1ZmMtMDc1OC00MGJhLWFkY2QtODFlZWQ3Nzg3N2M1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,345,tt4190220,movie,N/A,N/A,N/A,N/A,True,TV-MA,"December 31, 2019",http://www.flixable.com/title/81213884/,
Alexa & Katie,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-G,"December 30, 2019",http://www.flixable.com/title/80174285/,
The Disastrous Life of Saiki K.: Reawakened,2019,N/A,30 Dec 2019,N/A,N/A,N/A,N/A,"Zach Aguilar, Kellen Goff, Kyle McCarley, Jason Charles Miller",N/A,Japanese,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZWI5ODczNTctMzc5ZS00MWVmLTg4ZGEtYzRmNGVmNWQ1M2EyXkEyXkFqcGdeQXVyNjc2NTQzMjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,18,tt11163352,series,,,,,True,TV-14,"December 30, 2019",http://www.flixable.com/title/81054849/,N/A
Lawless,2012,R,29 Aug 2012,116 min,"Crime, Drama",John Hillcoat,"Nick Cave (screenplay), Matt Bondurant (novel)","Shia LaBeouf, Tom Hardy, Jason Clarke, Guy Pearce","Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",English,USA,1 win & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMjAxNjUyNjUwN15BMl5BanBnXkFtZTcwMDgwOTIyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.3,"218,587",tt1212450,movie,27 Nov 2012,"$36,300,000",The Weinstein Company,N/A,True,R,"December 29, 2019",http://www.flixable.com/title/70213471/,
Hot Gimmick: Girl Meets Boy,2019,N/A,28 Jun 2019,119 min,Drama,Yûki Yamato,"Miki Aihara, Yûki Yamato","Miona Hori, Mizuki Itagaki, Kaisei Kamimura, Shôtarô Mamiya",Hatsumi and her family live normal lives until she is used by Ryoki who begins to bully and intimidate her. Azusa is a friend in the area and also good looking. He has the hots for Hatsumi ...,Japanese,Japan,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTE1YzljYWUtYTkzNi00N2ZjLTlhZDEtYTY1ZGI0ZDIxMjk2XkEyXkFqcGdeQXVyNjE4OTY3NTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,12,tt10061256,movie,N/A,N/A,N/A,N/A,True,TV-MA,"December 28, 2019",http://www.flixable.com/title/81043135/,
Blitz Patrollie,2013,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"December 27, 2019",http://www.flixable.com/title/81228864/,
"El Pepe, a Supreme Life",2018,N/A,13 Oct 2019,74 min,"Documentary, Biography",Emir Kusturica,N/A,Pepe Mujica,"An examination of the life, times, and legacy of Uruguay's last president, José ""Pepe"" Mujica.",Spanish,"Argentina, Uruguay, Serbia",1 win.,https://m.media-amazon.com/images/M/MV5BNjA0MmZhOGItOTMwZi00MTY5LTgwODgtODk0OWU3ZTE4YjhhXkEyXkFqcGdeQXVyODg5NTY3ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,329,tt8900434,movie,N/A,N/A,N/A,N/A,True,TV-14,"December 27, 2019",http://www.flixable.com/title/81094074/,
Kevin Hart: Don’t F**k This Up,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"December 27, 2019",http://www.flixable.com/title/81010817/,
The Gift,2019,N/A,11 Jan 2019,86 min,Romance,Onat Diaz,Keiko Aquino,"Nash Aguas, Sharlene San Pedro, Maricar Reyes, Precious Lara Quigaman","A young man with Asperger's Syndrome falls in love with a sheltered young woman who suffers from Mitral Valve Stenosis, a congenital heart condition. Will his condition cause her demise or ...","Filipino, English",Philippines,N/A,https://m.media-amazon.com/images/M/MV5BYWI4ZTRmOTgtODVkMy00MTc2LTgzZTgtNTZmNTI1OWU0Zjg0XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,10,tt9574444,movie,N/A,N/A,N/A,N/A,True,TV-MA,"December 27, 2019",http://www.flixable.com/title/81037848/,
The Secret Life of Pets 2,2019,PG,07 Jun 2019,86 min,"Animation, Adventure, Comedy, Family","Chris Renaud, Jonathan del Val(co-director)",Brian Lynch,"Patton Oswalt, Kevin Hart, Harrison Ford, Eric Stonestreet","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",English,"USA, France, Japan",5 nominations.,https://m.media-amazon.com/images/M/MV5BMzdlMWQzZmItMDA5Ny00MGFjLTk0MDAtYjgzMmMyNTEwMzdhXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.5,"34,618",tt5113040,movie,13 Aug 2019,N/A,Universal Pictures,N/A,True,PG,"December 27, 2019",http://www.flixable.com/title/81044813/,
The Vendor,2018,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"December 27, 2019",http://www.flixable.com/title/81172726/,
Fast & Furious Spy Racers,2019,TV-Y7-FV,26 Dec 2019,23 min,"Animation, Action, Crime",N/A,N/A,"Tyler Posey, Charlet Takahashi Chung, Jorge Diaz, Camille Ramsey",A team of teenage street racers are hired to infiltrate a criminal gang.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTdmYjFiZTYtZGZlZi00YTBjLWIxYmItYTQ5OWNiZmM5MzczXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,463,tt8322592,series,,,,,True,TV-Y7-FV,"December 26, 2019",http://www.flixable.com/title/80225085/,1
The App,2019,N/A,26 Dec 2019,78 min,"Drama, Sci-Fi",Elisa Fuksas,N/A,"Vincenzo Crea, Jessica Cressy, Giampiero Judica, Stella Mastrantonio","Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.",Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BYjZhY2UwZWUtYjhiNS00YzhmLWFjMmUtODlmMzU0MDc1OGZmXkEyXkFqcGdeQXVyMTY5OTQzNzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.5/10'}]",N/A,2.5,35,tt11385066,movie,N/A,N/A,N/A,N/A,True,TV-MA,"December 26, 2019",http://www.flixable.com/title/81150338/,
The Bonfire of Destiny,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"December 26, 2019",http://www.flixable.com/title/80213020/,
You,2019,TV-MA,17 May 2019,84 min,"Action, Adventure, Crime, Drama, Sci-Fi, Thriller",Stefon Bristol,"Fredrica Bailey, Stefon Bristol","Eden Duncan-Smith, Dante Crichlow, Astro, Marsha Stephanie Blake","Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build makeshift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BYzU3ODc1NzAtZWIwYy00YTdjLWEwZDItY2Y1ZGIyMmY0Yzc4XkEyXkFqcGdeQXVyMjIxNjgxNTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,5.0,"6,997",tt8743064,movie,17 May 2019,N/A,Netflix,N/A,True,TV-MA,"December 26, 2019",http://www.flixable.com/title/80211991/,
Doom: Annihilation,2019,R,01 Oct 2019,96 min,"Action, Adventure, Horror, Sci-Fi, Thriller",Tony Giglio,Tony Giglio (screenplay),"Amy Manson, Dominic Mafham, Luke Allen-Gale, James Weber Brown","Follows a group of UAC Marines as they respond to a distress call from a top secret scientific base on Phobos, a Martian moon, only to discover it's been overrun by demons who threaten to create Hell on Earth.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzc3ZWIwYjktZWE1ZC00MTRlLWE1NzUtYTYzYjJlNmMyYTZhXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,"4,896",tt8328716,movie,N/A,N/A,N/A,N/A,True,R,"December 25, 2019",http://www.flixable.com/title/81164603/,
Fireworks,2017,N/A,02 Mar 2017,8 min,"Short, Biography, Drama, Romance",Arom Choi,Arom Choi,"Tyree Marshall, Nicolas Savignano","A woman and a man, living in a trailer, are sitting at each side of their dinner table. The woman is glaring at the man, but the man seems completely remote. The woman runs out of their trailer and starts to wander around the forest.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzA2OWYzN2EtMDEwZC00MjYwLWI0ODktYmQ0NTI2ODU2NTdjXkEyXkFqcGdeQXVyNjcwNzU2MDY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt7015088,movie,N/A,N/A,N/A,N/A,True,TV-PG,"December 25, 2019",http://www.flixable.com/title/81000505/,
Grand-Daddy Day Care,2019,PG-13,05 Feb 2019,96 min,"Comedy, Family",Ron Oliver,"Robbie Fox, David H. Steinberg","Danny Trejo, Reno Wilson, Roxana Ortega, Hal Linden",A family man turns his house into a 'day care' center for senior citizens.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDcwN2NiODctOTYxNS00ZGEyLWI3NGQtNDQ3OWRhZWIyMzllXkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,298,tt8749922,movie,05 Feb 2019,N/A,Universal 1440 Entertainment,N/A,True,PG-13,"December 25, 2019",http://www.flixable.com/title/81045499/,
Jarhead: Law of Return,2019,R,01 Oct 2019,103 min,War,Don Michael Paul,Don Michael Paul,"Yael Eitan, Nicholas Aaron, Adi Alamo, Reymonde Amsallem","Major Ronan Jackson (Devon Sawa), an accomplished fighter pilot for the Israel Defense Forces and son of a U.S. Senator (Robert Patrick), is shot down while flying through Syrian airspace. ...",English,"Israel, USA",N/A,https://m.media-amazon.com/images/M/MV5BZDcxZGI3NTktNzVjMy00ZWM3LWFlZWMtZThjMDEwNTQ5NjNjXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"2,622",tt10767720,movie,N/A,N/A,N/A,N/A,True,R,"December 25, 2019",http://www.flixable.com/title/81164636/,
MFKZ,2017,R,11 Oct 2018,94 min,"Animation, Action, Comedy, Sci-Fi, Thriller","Shôjirô Nishimi, Guillaume Renard","Amanda Céline Miller (adaptation), Baljeet Rai (English adaptation), Guillaume Renard (screenplay)","Orelsan, Gringe, Redouanne Harjane, Féodor Atkine","Angelino is just one of thousands of deadbeats living in Dark Meat City. But an otherwise unremarkable scooter accident caused by a beautiful, mysterious stranger is about to transform his ...","French, Spanish, English","France, Japan",3 nominations.,https://m.media-amazon.com/images/M/MV5BOTc3MTVjMDEtZDk4Zi00M2I2LTk4YzctZTkxNjVhNDI0OGRlXkEyXkFqcGdeQXVyNDA5NDYyNDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.7,"2,209",tt4717402,movie,26 Mar 2019,N/A,Fathom Events,N/A,True,R,"December 25, 2019",http://www.flixable.com/title/81037697/,
Sweetheart,2019,PG-13,28 Jan 2019,82 min,"Horror, Sci-Fi, Thriller",J.D. Dillard,"J.D. Dillard, Alex Hyner, Alex Theurer","Kiersey Clemons, Emory Cohen, Hanna Mangan Lawrence, Andrew Crawford","Jenn has washed ashore a small tropical island and it doesn't take her long to realize she's completely alone. She must spend her days not only surviving the elements, but must also fend off the malevolent force that comes out each night.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BYTBhZTIxZGYtNzhjZi00MTA3LWE4OGUtMGIwYWMxYzFhMGRmXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,5.5,"1,810",tt6560164,movie,22 Oct 2019,N/A,Blumhouse,N/A,True,PG-13,"December 25, 2019",http://www.flixable.com/title/80208235/,
CAROLE & TUESDAY,2019,TV-MA,10 Apr 2019,22 min,"Animation, Music, Sci-Fi",N/A,N/A,"Miyuri Shimabukuro, Kana Ichinose, Akio Ôtsuka, Miyu Irino","Two girls, from different backgrounds but sharing a love for music, meet and change history with their united musical talent.",Japanese,Japan,1 nomination.,https://m.media-amazon.com/images/M/MV5BMDE2NmJlOTEtYjgxMy00ODI1LWJmZTEtMGE0N2M0NTM3ODM1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,784,tt8107988,series,,,,,True,TV-MA,"December 24, 2019",http://www.flixable.com/title/80992137/,1
Como caído del cielo,2019,N/A,24 Dec 2019,112 min,"Comedy, Drama, Musical, Romance",José Pepe Bojórquez,"José Pepe Bojórquez (screenplay), José Pepe Bojórquez (story by), Alfredo Felix-Diaz (screenplay), Alfredo Felix-Diaz (story by)","Omar Chaparro, Ana Claudia Talancón, Stephanie Cayo, Yare Santana",Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BYTQxMmYzZjktOTc4OS00NWIzLWE2N2QtZmVmOWVmNzJiOWMxXkEyXkFqcGdeQXVyNzU2MDA1MA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10946934,movie,N/A,N/A,N/A,N/A,True,TV-14,"December 24, 2019",http://www.flixable.com/title/80244123/,
John Mulaney & The Sack Lunch Bunch,2019,N/A,24 Dec 2019,70 min,"Comedy, Family, Musical",Rhys Thomas,"John Mulaney, Marika Sawyer","John Mulaney, Alexander Bello, Tyler Bourke, Ava Briglia","John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZWM0ZjA4YjYtY2MzZS00Y2Y0LWJkMGUtZTlmM2RiYTE5ZWI0XkEyXkFqcGdeQXVyNjU1OTg4OTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"1,891",tt11318624,movie,N/A,N/A,N/A,N/A,True,TV-PG,"December 24, 2019",http://www.flixable.com/title/81104634/,
Lost in Space,2019,N/A,09 May 2019,55 min,Drama,Shihyun Wang,Shihyun Wang,"David Baron, Kristen Barone, Tomas Johansson, Cory Johnson","Inspired by true stories and unsolved mysteries. A test pilot's life changed after a famous space mission. What really happened? His wife, who first their 3 year old daughter before he ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzVlODliYmYtMGY1Ni00ZjkzLWE4ZDktYjI3ZmVjYWVlNmYwXkEyXkFqcGdeQXVyNjkyNzY0ODI@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10431882,movie,N/A,N/A,N/A,N/A,True,TV-PG,"December 24, 2019",http://www.flixable.com/title/80104198/,
Terrace House: Tokyo 2019-2020,2019,N/A,14 May 2019,N/A,Reality-TV,N/A,N/A,N/A,"Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script what happens next is up to them.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNzA1OGJlNjYtOGNhZC00ODA5LWI4MTEtOGEzODlmZTYwMTQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,136,tt10686814,series,,,,,True,TV-MA,"December 24, 2019",http://www.flixable.com/title/81077065/,N/A
Jacob's Ladder,2019,R,23 Aug 2019,89 min,"Drama, Horror, Mystery, Thriller",David M. Rosenthal,"Jeff Buhler (screenplay by), Sarah Thorpe (screenplay by), Jake Wade Wall (story by), Jeff Buhler (story by), Bruce Joel Rubin (based on the screenplay ""Jacob's Ladder"" by)","Michael Ealy, Jesse Williams, Nicole Beharie, Guy Burnet","After his brother returns home from war, Jacob Singer struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzQxZTRmNWMtOGU4NC00YTI5LWJkYWYtMzBiMmIwMWEzZDIwXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,3.3,"1,588",tt3016748,movie,23 Aug 2019,N/A,Vertical Entertainment,N/A,True,R,"December 22, 2019",http://www.flixable.com/title/81014479/,
Private Practice,2012,N/A,11 Sep 2012,12 min,"Documentary, Short",N/A,N/A,"Shonda Rhimes, Betsy Beers, KaDee Strickland, Benjamin Bratt",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2935362,movie,N/A,N/A,N/A,N/A,True,TV-14,"December 22, 2019",http://www.flixable.com/title/70157294/,
Back of the Net,2019,Unrated,15 Jun 2019,98 min,Family,Louise Alston,"Casie Tabanou, Alison Spuck McNeeley, Clay Glen (original concept by)","Sofia Wylie, Christopher Kirby, Melissa Bonne, Trae Robin",A new student at a soccer academy is determined to beat her rival's team in the national tournament.,English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BNDgwNTZiZDQtZjUxYi00NDBjLWEzZjgtMTQ2ZThmZDY4YmE1XkEyXkFqcGdeQXVyNDY1NTI0OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,5.0,156,tt8211214,movie,N/A,N/A,N/A,N/A,True,TV-G,"December 21, 2019",http://www.flixable.com/title/81108479/,
Lost in London,2017,Not Rated,19 Jan 2017,100 min,"Comedy, Drama",Woody Harrelson,Woody Harrelson,"Daniel Radcliffe, Woody Harrelson, Owen Wilson, Amir El-Masry","Within the course of one night, Woody Harrelson finds himself in a misadventure in London that winds him up in jail.",English,"USA, UK",1 nomination.,https://m.media-amazon.com/images/M/MV5BMWUzMmEyNDgtZTI1Ni00ZjE0LWJmNWYtOGViNjNiMGE5OTY5XkEyXkFqcGdeQXVyMjExMDE1MzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"2,426",tt6338476,movie,N/A,N/A,N/A,N/A,True,TV-14,"December 21, 2019",http://www.flixable.com/title/81172830/,
Agent,2019,Not Rated,20 Jun 2019,148 min,"Action, Comedy, Crime, Thriller",Swaroop Rsj,Swaroop Rsj,"Suhas, Viswanath, Abhilash, Anunya",Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BNDY4YzVkZjctMTg3Ni00YWFkLWExNWEtOWM1YzRkYmViMmVlXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,"2,403",tt10214826,movie,N/A,N/A,N/A,N/A,True,TV-MA,"December 20, 2019",http://www.flixable.com/title/81157169/,
Being Mrs Elliot,2014,N/A,05 Sep 2014,N/A,Romance,Omoni Oboli,Omoni Oboli,"Chika Chukwu, Majid Michel, Omoni Oboli",N/A,English,Nigeria,N/A,N/A,[],N/A,N/A,N/A,tt4387222,movie,N/A,N/A,N/A,N/A,True,TV-14,"December 20, 2019",http://www.flixable.com/title/81172911/,
Falz Experience,2018,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"December 20, 2019",http://www.flixable.com/title/81172866/,
Iyore,2015,N/A,08 May 2015,N/A,Drama,Frank Rajah Arase,Frank Rajah Arase,"Okawa Shaznay, Paul Obazele, Joseph Benjamin, Rita Dominic","Iyore (The Return) or as I like to call it ""Playing with Reincarnation"" is a twisted tale of love transcending from one lifetime to another and growing stronger each time it is reenacted. ...",English,Nigeria,N/A,https://m.media-amazon.com/images/M/MV5BZmI2ZGVkYzMtNDFkNi00MmVlLWExOGMtODA2ZmVlZGVkNTRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI0NTk1NDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,6,tt4512896,movie,N/A,N/A,N/A,N/A,True,TV-14,"December 20, 2019",http://www.flixable.com/title/81172897/,
The First Lady,2015,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"December 20, 2019",http://www.flixable.com/title/80126996/,
